state,city,place_name,category,description,latitude,longitude,entry_fee,avg_visit_duration_minutes
Kerala,Kochi,Kochi Attraction 1,beach,Popular tourist spot in Kochi offering great views and historical significance.,9.887608,76.286797,INR 100,30
Kerala,Kochi,Kochi Point 2,beach,Popular tourist spot in Kochi offering great views and historical significance.,9.942925,76.229163,INR 50,60
Kerala,Kochi,Kochi Garden 3,nature,Popular tourist spot in Kochi offering great views and historical significance.,9.972019,76.278656,Free,90
Kerala,Kochi,Kochi Temple 4,park,Popular tourist spot in Kochi offering great views and historical significance.,9.95855,76.259889,Free,180
Kerala,Kochi,Kochi Fort 5,adventure,Popular tourist spot in Kochi offering great views and historical significance.,9.964001,76.228352,INR 20,30
Kerala,Kochi,Kochi View 6,heritage,Popular tourist spot in Kochi offering great views and historical significance.,9.929655,76.239584,INR 50,120
Kerala,Kochi,Kochi Falls 7,heritage,Popular tourist spot in Kochi offering great views and historical significance.,9.924375,76.218627,Free,45
Kerala,Kochi,Kochi Lake 8,park,Popular tourist spot in Kochi offering great views and historical significance.,9.89732,76.310127,INR 50,60
Kerala,Kochi,Kochi Beach 9,nature,Popular tourist spot in Kochi offering great views and historical significance.,9.911831,76.230031,INR 100,180
Kerala,Kochi,Kochi Museum 10,beach,Popular tourist spot in Kochi offering great views and historical significance.,9.925863,76.235955,INR 200,180
Kerala,Thiruvananthapuram,Thiruvananthapuram Attraction 1,beach,Popular tourist spot in Thiruvananthapuram offering great views and historical significance.,8.561293,76.939193,INR 20,30
Kerala,Thiruvananthapuram,Thiruvananthapuram Point 2,nature,Popular tourist spot in Thiruvananthapuram offering great views and historical significance.,8.550937,76.943301,INR 50,30
Kerala,Thiruvananthapuram,Thiruvananthapuram Garden 3,heritage,Popular tourist spot in Thiruvananthapuram offering great views and historical significance.,8.502406,76.919209,INR 50,120
Kerala,Thiruvananthapuram,Thiruvananthapuram Temple 4,heritage,Popular tourist spot in Thiruvananthapuram offering great views and historical significance.,8.474598,76.978634,Free,30
Kerala,Thiruvananthapuram,Thiruvananthapuram Fort 5,beach,Popular tourist spot in Thiruvananthapuram offering great views and historical significance.,8.478979,76.94042,INR 100,45
Kerala,Thiruvananthapuram,Thiruvananthapuram View 6,beach,Popular tourist spot in Thiruvananthapuram offering great views and historical significance.,8.495336,76.929089,INR 50,120
Kerala,Thiruvananthapuram,Thiruvananthapuram Falls 7,park,Popular tourist spot in Thiruvananthapuram offering great views and historical significance.,8.489028,76.967333,INR 50,180
Kerala,Thiruvananthapuram,Thiruvananthapuram Lake 8,adventure,Popular tourist spot in Thiruvananthapuram offering great views and historical significance.,8.531522,76.919551,INR 100,120
