state,city,place_name,category,description,latitude,longitude,entry_fee,avg_visit_duration_minutes
Andhra Pradesh,Visakhapatnam,RK Beach,beach,Popular city beach with promenade,17.712800,83.318600,Free,90
Andhra Pradesh,Visakhapatnam,Kailasagiri Hill Park,nature,Hilltop park with panoramic sea views,17.747300,83.343600,INR 20,90
Andhra Pradesh,Visakhapatnam,INS Kursura Submarine Museum,heritage,Decommissioned submarine museum,17.712400,83.329900,INR 40,60
Andhra Pradesh,Visakhapatnam,Yarada Beach,beach,Scenic beach surrounded by hills,17.659800,83.274600,Free,120
Andhra Pradesh,Visakhapatnam,Borra Caves,nature,Natural limestone caves in Eastern Ghats,18.287000,83.037600,INR 40,120
Andhra Pradesh,Visakhapatnam,Simhachalam Temple,heritage,Ancient hilltop temple,17.766300,83.249700,Free,90
Andhra Pradesh,Visakhapatnam,Ross Hill Church,heritage,Historic church with city views,17.688600,83.289500,Free,45
Andhra Pradesh,Visakhapatnam,Araku Valley,nature,Scenic hill station and coffee plantations,18.327300,82.877200,Free,180
Andhra Pradesh,Visakhapatnam,Dolphin's Nose Viewpoint,nature,Cliff viewpoint overlooking harbor,17.676500,83.287200,Free,45
Andhra Pradesh,Visakhapatnam,Scuba Diving Rushikonda,adventure,Beginner-friendly scuba experience,17.782900,83.385600,INR 3500,120
Andhra Pradesh,Vijayawada,Kanaka Durga Temple,heritage,Famous temple on Indrakeeladri Hill,16.515000,80.616700,Free,90
Andhra Pradesh,Vijayawada,Prakasam Barrage,heritage,Barrage across Krishna River,16.506200,80.611700,Free,45
Andhra Pradesh,Vijayawada,Bhavani Island,adventure,River island with water sports,16.505000,80.620500,INR 50,120
Andhra Pradesh,Vijayawada,Gandhi Hill,heritage,Memorial hill with stupa,16.528300,80.603700,Free,60
Andhra Pradesh,Vijayawada,Undavalli Caves,heritage,Ancient rock-cut caves,16.497800,80.579600,INR 25,90
Andhra Pradesh,Vijayawada,Mangalagiri Temple,heritage,Ancient Narasimha temple,16.430800,80.568900,Free,60
Andhra Pradesh,Vijayawada,Kondapalli Fort,heritage,Historic hill fort,16.626800,80.535600,Free,90
Andhra Pradesh,Vijayawada,VMC Park,nature,Urban recreational park,16.512300,80.624800,Free,60
Andhra Pradesh,Vijayawada,Krishna River Cruise,adventure,Boat cruise with city views,16.506800,80.619900,INR 300,60
Andhra Pradesh,Vijayawada,Kolavennu Backwaters,nature,Scenic rural backwaters,16.457600,80.542800,Free,90
Andhra Pradesh,Tirupati,Tirumala Venkateswara Temple,heritage,One of the richest Hindu temples,13.683300,79.347400,Free,180
Andhra Pradesh,Tirupati,Silathoranam,nature,Natural rock arch formation,13.683900,79.350600,Free,45
Andhra Pradesh,Tirupati,Kapila Theertham,heritage,Temple with waterfall,13.645300,79.408900,Free,60
Andhra Pradesh,Tirupati,Chandragiri Fort,heritage,Historic fort of Vijayanagara kings,13.586400,79.317800,Free,90
Andhra Pradesh,Tirupati,Sri Venkateswara Zoo,nature,Large zoological park,13.634900,79.374200,INR 50,120
Andhra Pradesh,Tirupati,Akasa Ganga Waterfall,nature,Sacred waterfall near Tirumala,13.690900,79.348700,Free,60
Andhra Pradesh,Tirupati,Deer Park Tirumala,nature,Forest park with deer sightings,13.679800,79.345900,Free,60
Andhra Pradesh,Tirupati,TTD Gardens,heritage,Temple-maintained botanical gardens,13.682100,79.346600,Free,60
Andhra Pradesh,Tirupati,Rock Garden,nature,Geological garden near zoo,13.636500,79.372900,Free,45
Andhra Pradesh,Tirupati,Tirupati Heritage Walk,heritage,Walk through old temple town,13.628800,79.419200,Free,60
Andhra Pradesh,Kurnool,Belum Caves,nature,Second largest cave system in India,15.101000,78.113600,INR 60,120
Andhra Pradesh,Kurnool,Konda Reddy Fort,heritage,Historic fort in city center,15.828100,78.036300,Free,60
Andhra Pradesh,Kurnool,Oravakallu Rock Garden,nature,Unique rock formations,15.781700,78.012200,INR 20,90
Andhra Pradesh,Kurnool,Rollapadu Wildlife Sanctuary,nature,Great Indian bustard habitat,15.432500,78.210000,INR 50,150
Andhra Pradesh,Kurnool,Srisailam Dam,nature,Major dam on Krishna River,16.074000,78.868600,Free,90
Andhra Pradesh,Kurnool,Sakshi Ganapati Temple,heritage,Ancient temple with inscriptions,15.785200,78.045800,Free,45
Andhra Pradesh,Kurnool,Ahobilam Temple,heritage,Narasimha temple complex in hills,15.137200,78.774600,Free,120
Andhra Pradesh,Kurnool,Pathala Ganga,adventure,Boat ride near Srisailam,16.074800,78.869300,INR 150,60
Andhra Pradesh,Kurnool,Nallamala Forest Trek,adventure,Forest trekking route,15.950000,78.850000,Free,180
Andhra Pradesh,Kurnool,Kurnool Heritage Walk,heritage,Exploration of old Kurnool areas,15.828900,78.037800,Free,60
Andhra Pradesh,Rajahmundry,Papi Hills,nature,Scenic hill range along Godavari,17.443600,81.819600,Free,180
Andhra Pradesh,Rajahmundry,Godavari River Cruise,adventure,Boat cruise through Papi Hills,17.000500,81.804000,INR 500,180
Andhra Pradesh,Rajahmundry,Rallabandi Subbarao Museum,heritage,Archaeological and cultural museum,17.000000,81.804200,INR 10,60
Andhra Pradesh,Rajahmundry,Iskcon Temple Rajahmundry,heritage,Spiritual and cultural center,17.015600,81.807900,Free,60
Andhra Pradesh,Rajahmundry,Dowleswaram Barrage,heritage,Historic barrage on Godavari,17.051600,81.797700,Free,45
Andhra Pradesh,Rajahmundry,Kadiyapulanka Gardens,nature,Floriculture village near river,16.995600,81.804700,Free,90
Andhra Pradesh,Rajahmundry,Pattiseema,nature,Riverbank pilgrimage village,17.084600,81.650900,Free,60
Andhra Pradesh,Rajahmundry,Pushkar Ghat,heritage,Riverside ghat and temples,16.996200,81.804900,Free,60
Andhra Pradesh,Rajahmundry,Govindarajula Gutta,nature,Hilltop viewpoint,17.019800,81.820300,Free,45
Andhra Pradesh,Rajahmundry,Rajahmundry Heritage Walk,heritage,Historic town exploration,16.998800,81.804500,Free,60
Andhra Pradesh,Guntur,Kondaveedu Fort,heritage,Historic hill fort of Reddy dynasty,16.616800,80.352900,Free,90
Andhra Pradesh,Guntur,Amaravati Stupa,heritage,Ancient Buddhist monument,16.572600,80.356400,Free,90
Andhra Pradesh,Guntur,Undavalli Caves,nature,Rock-cut caves near Krishna river,16.497800,80.579600,INR 25,90
Andhra Pradesh,Guntur,Ettipotala Waterfall,nature,Scenic waterfall near Nagarjuna Sagar,16.539200,79.282200,Free,90
Andhra Pradesh,Guntur,Amaravati Museum,heritage,Buddhist artifacts museum,16.572800,80.357200,INR 10,60
Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,nature,Seasonal bird sanctuary,16.364200,80.436300,INR 10,60
Andhra Pradesh,Guntur,Krishna River Ghat,heritage,Sacred riverfront area,16.508600,80.640700,Free,45
Andhra Pradesh,Guntur,Chuttugunta Circle,heritage,Urban landmark and shopping hub,16.306700,80.437600,Free,30
Andhra Pradesh,Guntur,Nagarjuna Sagar Viewpoint,nature,Viewpoint overlooking dam area,16.578500,79.310200,Free,60
Andhra Pradesh,Guntur,Guntur Heritage Walk,heritage,Walk through old town areas,16.306900,80.436500,Free,60
Andhra Pradesh,Nellore,Nellore Beach,beach,Quiet beach near city outskirts,14.444200,79.986000,Free,120
Andhra Pradesh,Nellore,Pennar River Barrage,heritage,Bridge and river view point,14.441200,79.986600,Free,45
Andhra Pradesh,Nellore,Ranganatha Temple,heritage,Ancient temple near river,14.441800,79.986900,Free,60
Andhra Pradesh,Nellore,Mypadu Beach,beach,Popular beach with long shoreline,14.451900,79.999400,Free,120
Andhra Pradesh,Nellore,Nelapattu Bird Sanctuary,nature,Pelican breeding ground,13.880300,79.844400,INR 50,120
Andhra Pradesh,Nellore,Udayagiri Fort,heritage,Hilltop fort with ruins,14.913300,79.317600,Free,90
Andhra Pradesh,Nellore,Venkatagiri Fort,heritage,Historic fort-palace complex,13.960000,79.580000,Free,90
Andhra Pradesh,Nellore,Barah Shaheed Dargah,heritage,Historic Islamic shrine,14.440100,79.987900,Free,30
Andhra Pradesh,Nellore,Jonnawada Temple,heritage,Spiritual center near river,14.461600,79.975200,Free,60
Andhra Pradesh,Nellore,Nellore Heritage Walk,heritage,Historic city exploration,14.441500,79.986800,Free,60
Andhra Pradesh,Ongole,Ongole Beach,beach,Quiet coastal beach stretch,15.503600,80.048500,Free,120
Andhra Pradesh,Ongole,Kothapatnam Beach,beach,Popular beach near Ongole,15.479600,80.079600,Free,120
Andhra Pradesh,Ongole,Chennakesava Swamy Temple,heritage,Ancient temple in Ongole,15.505300,80.049900,Free,60
Andhra Pradesh,Ongole,Bhairavakona Caves,nature,Rock-cut caves with waterfalls,14.888200,79.200700,Free,120
Andhra Pradesh,Ongole,Ramathirtham,nature,Historic Jain and Hindu site,15.506900,80.051800,Free,60
Andhra Pradesh,Ongole,Kandaleru Dam,nature,Large irrigation reservoir,14.577900,79.614300,Free,60
Andhra Pradesh,Ongole,Ongole Cattle Market,heritage,Famous cattle trading hub,15.505900,80.049300,Free,60
Andhra Pradesh,Ongole,Sri Prasanna Chennakesava Temple,heritage,Temple with Dravidian architecture,15.507200,80.047800,Free,60
Andhra Pradesh,Ongole,Ongole Viewpoint,nature,City outskirts viewpoint,15.511800,80.043200,Free,30
Andhra Pradesh,Ongole,Ongole Heritage Walk,heritage,Historic town walk,15.506400,80.048900,Free,1020
Andhra Pradesh,Eluru,Kolleru Lake,nature,One of India's largest freshwater lakes,16.620000,81.200000,Free,180
Andhra Pradesh,Eluru,Buddha Park Eluru,nature,Urban riverside park,16.712000,81.100800,Free,60
Andhra Pradesh,Eluru,Eluru Canal View,heritage,Historic canal system,16.708800,81.095600,Free,45
Andhra Pradesh,Eluru,Gudivada Buddha Stupa,heritage,Ancient Buddhist site,16.433800,80.991700,Free,60
Andhra Pradesh,Eluru,Kolleru Bird Sanctuary,nature,Seasonal migratory birds area,16.615800,81.210200,INR 50,120
Andhra Pradesh,Eluru,Pedavegi Buddhist Ruins,heritage,Buddhist archaeological site,16.633300,81.042600,Free,90
Andhra Pradesh,Eluru,Eluru Heritage Walk,heritage,Old town exploration,16.710000,81.095000,Free,60
Andhra Pradesh,Eluru,Tammileru River Bank,nature,Riverbank relaxation area,16.705600,81.104300,Free,45
Andhra Pradesh,Eluru,Eluru Parks Cluster,nature,Public parks area,16.711200,81.098700,Free,60
Andhra Pradesh,Eluru,Eluru Water Sports Zone,adventure,Boating and water activities,16.707800,81.101900,INR 300,90
Andhra Pradesh,Srikakulam,Kalingapatnam Beach,beach,Serene beach near river mouth,18.341800,84.119400,Free,120
Andhra Pradesh,Srikakulam,Salihundam Buddhist Complex,heritage,Ancient Buddhist site,18.325600,84.050400,Free,90
Andhra Pradesh,Srikakulam,Sri Mukhalingam Temple,heritage,Famous Shiva temple complex,18.594300,83.950200,Free,90
Andhra Pradesh,Srikakulam,Baruva Beach,beach,Quiet coastal stretch,18.213500,84.022400,Free,120
Andhra Pradesh,Srikakulam,Telineelapuram Bird Sanctuary,nature,Pelican and stork habitat,18.503800,83.858900,INR 10,90
Andhra Pradesh,Srikakulam,Kalingapatnam Lighthouse,nature,Coastal viewpoint,18.343900,84.118000,Free,30
Andhra Pradesh,Srikakulam,Narasannapeta Handloom Village,heritage,Traditional handloom center,18.414600,83.941200,Free,60
Andhra Pradesh,Srikakulam,Srikurmam Temple,heritage,Unique Kurma avatar temple,18.266300,84.038400,Free,90
Andhra Pradesh,Srikakulam,Vamsadhara River View,nature,Scenic river viewpoint,18.336700,83.934600,Free,45
