state,city,place_name,category,description,latitude,longitude,entry_fee,avg_visit_duration_minutes
Goa,Panaji,Miramar Beach,beach,Popular urban beach near Panaji with sunset views,15.490500,73.807800,Free,90
Goa,Panaji,Dona Paula View Point,nature,Scenic viewpoint overlooking Zuari and Mandovi rivers,15.454900,73.802800,Free,45
Goa,Panaji,Reis Magos Fort,heritage,Restored Portuguese fort with river views,15.597200,73.817700,INR 50,90
Goa,Panaji,Goa State Museum,heritage,Museum showcasing Goan history and culture,15.498500,73.828300,INR 10,60
Goa,Panaji,Fontainhas Latin Quarter,heritage,UNESCO-recognized Portuguese-era neighborhood,15.496800,73.829900,Free,75
Goa,Panaji,Dr Salim Ali Bird Sanctuary,nature,Mangrove bird sanctuary on Chorao Island,15.538800,73.866600,INR 10,120
Goa,Panaji,Immaculate Conception Church,heritage,Iconic white church overlooking Panaji,15.498200,73.828800,Free,45
Goa,Panaji,Mandovi River Cruise,adventure,Boat cruise with cultural performances,15.498600,73.825900,INR 300,60
Goa,Panaji,Campal Gardens,nature,Peaceful riverside garden and walkway,15.493200,73.819800,Free,45
Goa,Panaji,Miramar Cycling Track,adventure,Beachside cycling and jogging track,15.491500,73.808200,Free,60
Goa,Calangute,Calangute Beach,beach,One of the busiest and most popular beaches in Goa,15.548500,73.756200,Free,120
Goa,Calangute,Baga River Point,nature,Scenic river-mouth area near Baga,15.556800,73.751000,Free,60
Goa,Calangute,Tito's Lane,adventure,Famous nightlife and entertainment street,15.556100,73.751700,Free,120
Goa,Calangute,St Alex Church,heritage,Large white church with baroque architecture,15.542700,73.760200,Free,45
Goa,Calangute,Kerkar Art Complex,heritage,Art gallery showcasing Goan artists,15.553100,73.754800,Free,60
Goa,Calangute,Baga Creek Kayaking,adventure,Kayaking experience in calm backwaters,15.557200,73.750200,INR 800,90
Goa,Calangute,Calangute Market,heritage,Local market with souvenirs and handicrafts,15.548800,73.756500,Free,60
Goa,Calangute,Infantaria Restaurant Area,heritage,Historic bakery and café zone,15.549900,73.754900,Free,60
Goa,Calangute,Baga Snow Park,adventure,Indoor snow-themed adventure park,15.557400,73.750900,INR 1200,60
Goa,Calangute,Baga Beach Extension,beach,Less crowded extension of Baga Beach,15.558000,73.751400,Free,90
Goa,Candolim,Candolim Beach,beach,Clean and less crowded beach ideal for relaxation,15.519800,73.764200,Free,120
Goa,Candolim,Sinquerim Fort,heritage,Historic fort overlooking the Arabian Sea,15.498500,73.763800,Free,75
Goa,Candolim,Aguada Fort Lighthouse,heritage,Old Portuguese lighthouse and fort complex,15.489500,73.773700,Free,60
Goa,Candolim,Calizz Restaurant Area,heritage,Popular dining and nightlife stretch,15.517200,73.762500,Free,90
Goa,Candolim,Water Sports Zone,adventure,Jet ski and parasailing activities,15.515900,73.762800,INR 1000,90
Goa,Candolim,Princess River Cruise,nature,Backwater cruise with wildlife spotting,15.519000,73.766000,INR 400,60
